case_id,name,gt_hatching,pred_hatching,correct,diameter_um,volume_um3,semi_a_um,semi_b_um,semi_c_um,protrusion_voxels,protrusion_fraction
0,centred_smooth,False,False,True,154.6,1881623.0,89.2,78.6,64.1,0,0.0
1,mild_offcentre,False,False,True,154.5,1880446.0,89.0,78.6,64.2,0,0.0
2,strong_offcentre,False,False,True,155.0,1901020.0,89.1,78.7,64.7,0,0.0
3,noisy_centred,False,False,True,156.5,1959165.0,89.2,80.1,65.4,0,0.0
4,noisy_offcentre,False,False,True,156.6,1961153.0,89.7,79.7,65.5,0,0.0
5,hatching_centred,True,True,True,177.4,2606900.0,119.9,85.8,60.5,300,0.0114
6,hatching_mild_off,True,True,True,175.9,2581444.0,116.0,86.0,61.8,354,0.0141
7,hatching_strong_off,True,True,True,162.8,2173542.0,92.5,87.7,64.0,181,0.0083
8,hatching_noisy,True,True,True,179.2,2691921.0,120.4,87.1,61.3,214,0.008
9,hatching_noisy_offcentre,True,True,True,169.1,2382430.0,103.1,87.7,62.9,299,0.013
